Date,Open,Close,High,Low,Volume €
19/06/19,12321.43,12308.53,12346.7,12291.19,3798750720
18/06/19,12069.37,12331.75,12358,11987.55,5135174144
17/06/19,12112.47,12085.82,12124.68,12059.92,2678465024
14/06/19,12124.36,12096.4,12136.65,12049.76,2606679552
13/06/19,12095.21,12169.05,12201.78,12079.6,2803981056
12/06/19,12093.98,12115.68,12132.28,12068.11,2830967296
11/06/19,12133.6,12155.81,12227.4,12117.34,3770355968
07/06/19,12003.92,12045.38,12096.61,11987.17,3152139008
06/06/19,11987.92,11953.14,12076.95,11899.82,3214664448
05/06/19,11981.18,11980.81,12057.73,11928.87,3191888384
04/06/19,11716.55,11971.17,11987.89,11713.87,4182353152
03/06/19,11661.12,11792.81,11793.63,11620.64,3526266624
31/05/19,11742.21,11726.84,11755.12,11662.07,4307394560
30/05/19,11885.07,11902.08,11924.66,11858.29,1916034688
29/05/19,11906.02,11837.81,11927.64,11828.75,3711118336
28/05/19,12100.39,12027.05,12113.31,11992.41,4377966080
27/05/19,12077.88,12071.18,12124.55,12050.49,1666777856
24/05/19,12027.31,12011.04,12082.05,11990.79,3181134080
23/05/19,12064.29,11952.41,12082.75,11926.34,4562322944
22/05/19,12141.46,12168.74,12211.03,12055.5,3759890432
21/05/19,12111.8,12143.47,12178.25,12066.9,3604382976
20/05/19,12226.85,12041.29,12246.5,11993.91,3945033472
17/05/19,12252.68,12238.94,12270.89,12150.33,4577125888
16/05/19,12077.36,12310.37,12310.37,12030.3,4503846400
15/05/19,12018.45,12099.57,12099.57,11862.21,4824780800
14/05/19,11908.77,11991.62,11991.83,11897.93,4284379904
13/05/19,12044.1,11876.65,12052.93,11844.47,4450372608
10/05/19,12105.28,12059.83,12140.61,12009.75,5102563840
09/05/19,12098.02,11973.92,12125.96,11957.31,4785608192
08/05/19,12110.87,12179.93,12208.48,12063.74,4903957504
07/05/19,12298.71,12092.74,12319.05,12056.8,4710692352
06/05/19,12171.9,12286.88,12298.66,12135.42,4105812992
03/05/19,12345.32,12412.75,12435.67,12344.23,3696200704
02/05/19,12349.1,12345.42,12402.87,12303.96,4336516608
30/04/19,12313.97,12344.08,12345.31,12281.72,3653955840
29/04/19,12308.98,12328.02,12376.06,12266.34,2859889408
26/04/19,12284.46,12315.18,12323.64,12259.76,3694537984
25/04/19,12304.53,12282.6,12321.79,12236.14,4221526784
24/04/19,12232.99,12313.16,12349.83,12223.98,5255300096
23/04/19,12224.32,12235.51,12251.81,12182.98,3483371008
18/04/19,12138.14,12222.39,12243.63,12100,5130137088
17/04/19,12100.44,12153.07,12195,12086.89,4428403712
16/04/19,12026.74,12101.32,12116.25,12025.66,3509920000
15/04/19,12011.11,12020.28,12029.98,11983.33,2751749376
12/04/19,11912.58,11999.93,12031.15,11889.99,3788934656
11/04/19,11914.51,11935.2,11963.43,11846.6,3052921600
10/04/19,11864.46,11905.91,11937.11,11863.8,2756793856
09/04/19,11927.01,11850.57,11988.53,11850.57,3117230848
08/04/19,11979.73,11963.4,11989.59,11948.26,2755551488
05/04/19,11993.22,12009.75,12024.23,11967.7,3190375168
04/04/19,11924.61,11988.01,12029.26,11916.57,3280741888
03/04/19,11855.4,11954.4,11961.36,11854.21,4059056640
02/04/19,11703.24,11754.79,11777.65,11659.15,3294680576
01/04/19,11617.18,11681.99,11706.64,11612.7,4027214336
29/03/19,11492.09,11526.04,11549.42,11442.12,3847521792
28/03/19,11422.16,11428.16,11494.15,11414.66,3245212416
27/03/19,11439.02,11419.04,11502.35,11368.13,3837540352
26/03/19,11374.18,11419.48,11447.13,11299.8,3612043776
25/03/19,11323.2,11346.65,11392,11312.54,3091406080
22/03/19,11578.39,11364.17,11623.97,11356.49,4648299520
21/03/19,11566.87,11549.96,11582.54,11467.79,3613988864
20/03/19,11704.44,11603.89,11721.41,11596.2,4652830720
19/03/19,11672.76,11788.41,11823.29,11652.02,3343670016
18/03/19,11685.54,11657.06,11712.36,11635.88,3132567808
15/03/19,11608.67,11685.69,11725.66,11575.33,8687595520
14/03/19,11573.42,11587.47,11635.76,11541.1,3565055488
13/03/19,11499.32,11572.41,11586.9,11486.74,3447511040
12/03/19,11612.46,11524.17,11618.73,11499.47,3626647296
11/03/19,11497.98,11543.48,11550.59,11462.9,2810280960
08/03/19,11429.77,11457.84,11475.55,11405.21,3491382016
07/03/19,11546.42,11517.8,11612.95,11452.86,3807980288
06/03/19,11593.21,11587.63,11652.77,11565.22,2651564032
05/03/19,11570.97,11620.74,11627.78,11551.45,2691672320
04/03/19,11646.21,11592.66,11650.44,11591.74,2627893248
01/03/19,11584.24,11601.68,11676.86,11583.08,3428219904
28/02/19,11430.8,11515.64,11524.99,11416.08,3696711168
27/02/19,11493.81,11487.33,11521.22,11442.97,3482933760
26/02/19,11446.29,11540.79,11556.87,11441.87,3332213760
25/02/19,11517.76,11505.39,11544.31,11480.49,3295535360
22/02/19,11422.62,11457.7,11504.71,11420.74,2972969216
21/02/19,11448.65,11423.28,11454.44,11392.27,3064507904
20/02/19,11338.74,11401.97,11437.47,11318.74,3343634176
19/02/19,11280.73,11309.21,11371.44,11244.52,2874834176
18/02/19,11287.74,11299.2,11318.19,11256.27,2395563776
15/02/19,11044.8,11299.8,11323.05,11018.95,4445476352
14/02/19,11257.8,11089.79,11260.55,11077.78,3486409728
13/02/19,11174.85,11167.22,11217.3,11125.59,2933021184
12/02/19,11123.43,11126.08,11164.38,11116.86,3145137152
11/02/19,10955.83,11014.59,11041.95,10944.58,2875464192
08/02/19,10991.79,10906.78,11045.41,10863.56,4768407552
07/02/19,11262.97,11022.02,11286.46,11022.02,4777639936
06/02/19,11337.54,11324.72,11347.94,11297.42,3204030208
